日期,网游名字,钻石,日活,当天付费人数,平台,次日留存,人均游戏时长(分钟)
20251001,山海传说,138499,544,7,PC,0.5551,105.2053615
20251002,山海传说,1323493,866,58,PC,0.4561,277.1877791
20251003,山海传说,1295995,955,55,PC,0.4429,371.3329843
20251004,山海传说,1647493,904,54,PC,0.479,346.337795
20251005,山海传说,1055996,889,39,PC,0.4443,371.4462505
20251006,山海传说,1448493,757,38,PC,0.5099,377.0364377
20251007,山海传说,1923484,791,18,PC,0.4716,360.067362
20251008,山海传说,2082483,665,29,PC,0.4737,337.0029073
20251009,山海传说,1720987,523,18,PC,0.5449,377.599044
20251010,山海传说,1377494,515,29,PC,0.5573,349.57411
20251011,山海传说,1900489,561,24,PC,0.5062,341.2259358
20251012,山海传说,1615992,588,36,PC,0.4405,386.001559
20251013,山海传说,758496,447,17,PC,0.5906,391.98695
20251014,山海传说,1303993,449,22,PC,0.5412,402.2465108
20251015,山海传说,876497,438,22,PC,0.5685,335.7383562
20251016,山海传说,1121991,439,18,PC,0.5444,353.1130979
20251017,山海传说,793996,496,32,PC,0.5605,284.666297
20251018,山海传说,1746487,614,26,PC,0.4788,334.3862106
20251019,山海传说,470498,562,24,PC,0.427,370.7933274
20251020,山海传说,696997,551,17,PC,0.5118,297.6472474
20251021,山海传说,981993,632,21,PC,0.4652,308.3505538
20251022,山海传说,804995,608,22,PC,0.4507,347.1995888
20251023,山海传说,370999,552,16,PC,0.5344,322.7737923
20251024,山海传说,830494,789,21,PC,0.4512,256.4802915
20251025,山海传说,918493,1098,13,PC,0.3843,232.2822253
20251026,山海传说,1269991,999,26,PC,0.2833,267.3355522
20251027,山海传说,290999,470,17,PC,0.4957,341.4903546
20251028,山海传说,156499,414,11,PC,0.5242,363.8949275
20251029,山海传说,136500,394,7,PC,0.4772,304.4857868
20251030,山海传说,233499,356,12,PC,0.5028,326.4848315
20251031,山海传说,115000,460,11,PC,0.4739,204.8234058
20251101,山海传说,299500,719,13,PC,0.388,248.1961752
20251102,山海传说,448499,632,21,PC,0.2911,272.3847046
20251103,山海传说,779995,328,20,PC,0.5061,344.5020833
20251104,山海传说,347997,299,8,PC,0.4783,377.7028986
20251105,山海传说,248500,269,12,PC,0.5428,348.1345105
20251106,山海传说,131500,294,5,PC,0.5,337.2186508
20251107,山海传说,118000,376,6,PC,0.4787,291.6443706
20251108,山海传说,34500,512,9,PC,0.4023,246.3598958
20251109,山海传说,394497,512,12,PC,0.2969,253.3299154
20251110,山海传说,41000,309,4,PC,0.4984,315.8202265
20251111,山海传说,43500,321,4,PC,0.4579,334.9896677
20251112,山海传说,18000,334,2,PC,0.4371,267.524501
20251113,山海传说,473498,323,8,PC,0.4644,275.4739422
20251114,山海传说,35500,376,4,PC,0.4468,223.8382979
20251115,山海传说,39500,537,5,PC,0.3371,206.9075109
20251116,山海传说,1227991,460,12,PC,0.3065,263.8937319
20251117,山海传说,149999,267,8,PC,0.4981,281.7923845
20251118,山海传说,56000,251,6,PC,0.502,365.5100266
20251119,山海传说,25000,248,4,PC,0.4435,294.1237903
20251120,山海传说,15000,175,4,PC,0.5371,319.5659048
20251121,山海传说,9000,228,3,PC,0.5132,229.9880848
20251122,山海传说,35000,282,3,PC,0.4681,287.65
20251123,山海传说,48000,253,4,PC,0.3715,355.315415
20251124,山海传说,1000,126,1,PC,0.6349,390.5010582
20251125,山海传说,16000,145,4,PC,0.6207,376.7227586
20251126,山海传说,44000,176,3,PC,0.5455,285.4923295
20251127,山海传说,23000,149,6,PC,0.5369,424.6607383
20251128,山海传说,23000,203,3,PC,0.5468,278.9458128
20251129,山海传说,7500,277,3,PC,0,270.1674489
20251130,山海传说,24500,255,3,PC,0.4,309.5394118
20251201,山海传说,76000,149,9,PC,0.4631,345.457047
20251202,山海传说,84000,120,5,PC,0.6667,363.7344444
20251203,山海传说,1021494,157,24,PC,0.5478,305.3969214
20251204,山海传说,363997,127,7,PC,0,388.3853018
20251205,山海传说,416499,157,19,PC,0,280.7584926
20251206,山海传说,159000,228,8,PC,0,313.8802632
20251207,山海传说,280999,224,12,PC,0.433,352.3036458
20251208,山海传说,127000,150,4,PC,0.64,443.6528889
20251209,山海传说,219000,143,7,PC,0.6783,449.6008159
20251210,山海传说,22000,137,3,PC,0.7299,470.0467153
20251211,山海传说,15000,165,2,PC,0.6061,332.1424242
20251212,山海传说,264498,172,10,PC,0.657,492.7474806
20251213,山海传说,138499,215,7,PC,0.5209,364.3073643
20251214,山海传说,114500,187,6,PC,0.4492,429.7350267
20251215,山海传说,86500,128,7,PC,0.5938,468.9872396
20251216,山海传说,60000,120,3,PC,0.5583,510.8745833
20251217,山海传说,52000,113,6,PC,0.6726,446.1361357
20251218,山海传说,86000,122,5,PC,0.6557,458.3703552
20251219,山海传说,123000,138,11,PC,0.6087,405.6955314
20251220,山海传说,94000,168,5,PC,0.5655,400.6390873
20251221,山海传说,82000,185,11,PC,0.4973,409.3621622
20251222,山海传说,35000,120,3,PC,0.7583,483.4545833
20251223,山海传说,77500,131,7,PC,0.7252,456.4115776
20251224,山海传说,40500,137,3,PC,0.5839,539.9195864
20251225,山海传说,43500,121,4,PC,0.6446,408.0977961
20251226,山海传说,138499,132,4,PC,0.7121,435.1061869
20251227,山海传说,60000,207,4,PC,0.5217,339.9740741
20251228,山海传说,78500,181,5,PC,0.4309,392.3708103
20251229,山海传说,2000,113,1,PC,0.6195,345.6507375
20251230,山海传说,0,115,0,PC,0.5565,421.422029
20251231,山海传说,33000,123,3,PC,0.5772,383.3388889
